Title,Lyrics
You Are A Miracle,"
서둘러 온 겨울 서러워서
어제 별이 그리 밝았는지
[Sung Sikyung]
서두르는 시간 아쉬워서
어제 꿈이 그리 길었는지
[Girl’s Day (Minah), B1A4 (Jinyoung)]
사랑하고 있나요 그대의 하루들을
사랑하고 있나요 그대의 사람들을
[EXO (Baekhyun, D.O)]
난 믿어요 그대 소중한
마음이 만들어낸 기적
[BEAST (Yoseob, Hyunseung)]
그대가 이미 하고 있어요
세상에 있는 것만으로
[2PM (Jun.K, Wooyoung)]
그대는 이미 누군가의
Miracle 아름다운 Miracle
[2PM (Wooyoung)]
오늘도 누군가를 웃게 하겠죠
[SNSD (Tiffany)]
우리는 이미 알고 있어요
무엇을 사랑해야 하는지
[BIGBANG (TAEYANG)]
그대 눈이 닿는 모든 곳에서
시작되고 있어요
아마 내일은 더 눈부시겠죠
[CNBLUE (Yonghwa, Jonghyun)]
그대라는 이유로
There can be no greater love
[ZE:A]
I am the light of world
You are the light of world
We are the light of world
We're shining bright together
[Infinite (Sungkyu)]
혹시나 세상이 같이 슬플까봐
고요히도 내리는 빗물들
[f(x) Luna]
행복해서는 안 될 사람처럼
어디론가 떠밀린 사람들
[BIGBANG (G-Dragon)]
모든 것이 어려워
사는 것이 서러워
Don’t be afraid my friend
I'm your fan Your biggest fan
[Ailee, BIGBANG (TAEYANG)]
난 믿어요 그대 작은 손길로
멈출 눈물을
[KARA (Gyuri, Jiyoung)]
그대가 이미 하고 있어요
세상에 있는 것만으로
[After School (Raina), Teen Top (Niel)]
그대는 이미 누군가의
Miracle 아름다운 Miracle
[TeenTop]
오늘도 누군가를 웃게 하겠죠
[2NE1 (Minzy)]
우리는 이미 알고 있어요
무엇을 사랑해야 하는지
[Miss A (Suzy),J.Y. Park]
그대 눈이 닿는 모든 곳에서
시작되고 있어요
[J.Y. Park]
아마 내일은 더 눈부시겠죠
[Sunmi]
그대라는 이유로
There can be no greater love
[K.Will]
잊지 말아요 그대로 인해
세상에 내린 빛이 있어
[SHINee (Taemin/Jonghyun)]
어떤 어둠도 결국에는
찰나의 그림자일 뿐이란걸
[SHINee (Jonghyun)]
부디 잊지 말아요
[Lee Sung Chul]
그대가 이미 하고 있어요
세상에 있는 것만으로
[Lee Sung Chul, Apink (Eunji)]
그대는 이미 누군가의
Miracle 아름다운 Miracle
[Apink (Eunji)]
오늘도 누군가를 웃게 하겠죠
[SUJU (Heechul)]
우리는 이미 알고 있어요
무엇을 사랑해야 하는지
[Lee Hyori]
그대 눈이 닿는 모든 곳에서
시작되고 있어요
아마 내일은 더 눈부시겠죠
[4Minute (Gayoon)]
그대라는 이유로
There can be no greater love
[B.A.P]
I am the light of world
You are the light of world
[Brown Eyed Girls]
We are the light of world
We're shining bright together
[TigerJK, Bizzy]
Make love ladyrainycorn 그대는
아름다운 기적 New Babies born
[Yoon Mirae]
(You already know that)
[TigerJK, Bizzy]
그대 눈이 닿는 모든 곳에 시작이 돼
[Yoon Mirae]
Come on we’ll light up the world
We're shining bright like the stars
Come together there's no greater love
[TigerJK, Bizzy]
그대라는 이유 Yes you are
You are baby light of world
[Yoon Mirae]
And we gonna shine together
Like diamonds and pearls
[All]
그대가 이미 하고 있어요
세상에 있는 것만으로
그대는 이미 누군가의
Miracle 아름다운 Miracle
오늘도 누군가를 웃게 하겠죠
우리는 이미 알고 있어요
무엇을 사랑해야 하는지
그대 눈이 닿는 모든 곳에서
시작되고 있어요
아마 내일은 더 눈부시겠죠
[All]
그대가 이미 하고 있어요
세상에 있는 것만으로
그대는 이미 누군가의
Miracle 아름다운 Miracle
오늘도 누군가를 웃게 하겠죠
우리는 이미 알고 있어요
무엇을 사랑해야 하는지
그대 눈이 닿는 모든 곳에서
시작되고 있어요
아마 내일은 더 눈부시겠죠
그대라는 이유로
There can be no greater love"
복숭아 (Peach),"
자꾸 눈이 가네
하얀 그 얼굴에
질리지도 않아 넌 왜
[Verse 2]
슬쩍 웃어줄 땐
나 정말 미치겠네
어쩜 그리 예뻐 babe (babe)
[Pre-Chorus]
뭐랄까 이 기분
널 보면 마음이
저려오네 뻐근하게
[Chorus]
오 어떤 단어로
널 설명할 수 있을까
아마 이 세상 말론 모자라
가만 서 있기만 해도
예쁜 그 다리로
내게로 걸어와 안아주는 너는 너는 너
[Verse 3]
You know he's so beautiful
Maybe you will never know
내 품에 숨겨두고 나만 볼래
[Pre-Chorus]
어린 마음에
하는 말이 아니야
꼭 너랑 결혼할래
[Chorus]
오 어떤 단어로
널 설명할 수 있을까
아마 이 세상 말론 모자라
가만 서 있기만 해도
예쁜 그 다리로
내게로 걸어와 안아주는 너는 너는 너
[Bridge]
몇 번을 말해줘도 모자라
오직 너만 알고 있는
간지러운 그 목소리로
노래 부를 거야 나 나 나 나
[Outro]
자꾸 맘이 가네
나 정말 미치겠네"
꽃 (Flower),"꽃이 지네 산과 들 사이로
꽃이 지네 눈물같이
겨울이 훑어 간 이곳
바람만이 남은 이곳에
꽃이 지네 꽃이 지네
산과 들 사이로
꽃이 피네 산과 들 사이로
꽃이 피네 눈물같이
봄이 다시 돌아온 이곳
그대 오지 않는 이곳에
꽃이 피네 꽃이 피네
산과 들 사이로
꽃이 피네 산과 들 사이로
꽃이 피네 눈물같이"
우울시계 (A Gloomy Clock),"
우울하다 우울해
지금 이 시간엔 우울하다
우울하다 우울해
지금이 몇 시지? 열한 시 반
[Verse 2: IU]
우울하다 우울해
또 우울시계가 째깍째깍
우울하다 우울해
라면 왜 먹었지? 살 찌겠네
[Verse 3: Both]
비가 온다 비가 와
끈적거리게 자꾸 비가 와
잠이 온다 잠이 와
그냥 세상 만사 귀찮아
[Chorus: IU]
시간이 흐르면
가슴 찢어지던 이별도
시간이 흐르면
이불 걷어찰 어린 기억도
[Verse 4: Both]
잊혀진다 잊혀져
그냥저냥 휙휙 지나 가
잊혀진다 잊혀져
그땐 그게 전분 줄 알았는데
[Chorus: Both]
시간이 흐르면
지금 이리 우울한 것도
시간이 흐르면
힘들다 징징댔던 것도
[Verse 5: Both]
한때란다 한때야
날카로운 감정의 기억이
무뎌진다 무뎌져
네모가 닳아져 원이 돼
[Verse 6: IU]
우울하다 우울해
무뎌져 가는 게 우울하다
씁쓸하다 씁쓸해
한약 다려 마신 듯 씁쓸
[Verse 7: Both]
우울하다 우울해
별 것도 아닌데 우울하다
우울하다 우울해
우울우울 열매 먹은 듯 우울"
미리 메리 크리스마스 (Merry Christmas Ahead),"
[Chorus: IU]
하얀 눈이 내려올 때면
온 세상이 물들을 때면
눈꽃이 피어나 또 빛이 나
눈이 부신 너처럼
[Intro: Thunder]
Yeah, girl
You should know that
That my heartbeats like
Huh huh, Huh huh
From the bottom of my heart
(I thank God I found you)
[Verse 1: Thunder]
쿵쿵 가슴이 왜 이렇게 가쁘니 yeah
꾹꾹 참아도 자꾸 네 생각이 나잖아 oh
You, you, I love you
And I know you love me too
네가 내게 불러 준 you are my boo
[Verse 2: IU]
You 아직 꿈만 같아
And you 마치 선물 같아
For you 네 품에 안겨도 늘 불안불안 해
꿈처럼 깰까 봐
You 꼭 안아 줘야만 해
And you 아껴 줘야만 해
For you 큰 맘 먹고 네 꺼 돼준 걸
하늘에게 감사해
[Chorus: IU]
하얀 눈이 내려올 때면
온 세상이 물들을 때면
눈꽃이 피어나 또 빛이 나
눈이 부신 너처럼
사랑할 수 밖에 없어서
사랑한 네 손 잡고서
첫 눈 위를 걸어 발자국을 새겨
이 길 끝까지 걸어 갈 거야 with you
[Verse 3: IU]
You 혹시 알고 있니
And you 느낄 수가 있니
For you 늘 자랑하고픈
네 여자친구가 되고만 싶은 걸
You 전부 다 주고 싶어
And you 잘 해주고 싶어
For you 다음 그 다음 해 겨울도
너의 곁에 있을게
[Chorus: IU]
하얀 눈이 내려올 때면
온 세상이 물들을 때면
눈꽃이 피어나 또 빛이 나
눈이 부신 너처럼
사랑할 수 밖에 없어서
사랑한 네 손 잡고서
첫 눈 위를 걸어 발자국을 새겨
이 길 끝까지 걸어 갈 거야 with you
[Bridge: IU,
Thunder
]
매일 매일 너 때문에 행복해 (행복해)
다른 누구 아닌 나를 모두 가질
너만이 my love
나도 믿기지 않아 지금 네가 내 옆에
이렇게 손 꼭 잡은 채 걷는다는 게
하얀 눈보다 더 뽀얀 네 볼에
키스해줄게 baby
빨갛게 물들게 baby
[Chorus: IU]
다가오는 크리스마스에는
기다리는 그 날만큼은
네 곁에 있을래 하루 종일
미리 미리 약속해
사랑할 수 밖에 없어서
사랑한 네 손 잡고서
첫 눈 위를 걸어 발자국을 새겨
이 길 끝까지 걸어 갈 거야 with you
[Outro: Thunder]
Girl, you know
I can't even think without you in my life
Yeah, yeah I know that you know
That's my baby"
Voice Mail (Korean Ver.),"
어쩌면 아니길 바랬나 봐
얼마 전부터 밤낮으로
날 괴롭히는 두근거림
덕분에 나 어제는
한숨도 못 잤어
[Verse 2]
미안 아마 너도 느꼈을 거야
어설프게 감추며
네 주윌 맴돌던
내 모습이 네게
많이 거슬렸다면 사과할게
[Chorus]
사실은 지금도
할 수만 있다면
계속 부정하고 싶다
근데 솔직히 조금은
헷갈리게 만든
네 책임도 있는 거 아냐?
늦은 밤 진동 소리에
은근한 목소리로
나를 깨웠잖아
아침은 꼭 먹고 다니라며
다정했던 걱정 정말 넌
아무 뜻도 없었냐?
[Verse 3]
걱정 마 심각한 수준은 아냐
네게 심심풀이
땅콩이라도 좋다느니
뭐 그런 얘기 아냐
잠깐 이러다 알아서 정리할게
[Chorus]
녹음 시간은 벌써
2분 30초가 막 넘어가고 있네
사실 더 할 말도 없어
어차피 아무 대책 없이
그냥 한 번 질러본 거니까
[Bridge]
참 끝까지 초라하다
나 왜 이렇게 한심하니
이런 건 아닌데
[Post-Chorus]
답장을 못내 기다릴 텐데
역시 아니라면 난 아니라면
네가 아니면 뭐 아닌 거지 뭐
아닌 거지 뭐"
Bye Summer,
Obliviate,"
오 슬픈 기억을 다 모아
Obliviate, Obliviate
[Verse 1]
지금부터 기억을 지운다
한 걸음 뒤로 갈 때마다
추억 하나씩
난 얼만큼을 더 걸어가야
난 얼만큼 더 버려야
너와 남이 될까
[Pre-Chorus]
열 걸음은 턱없이 모자라
천 걸음도 어쩜 부족할 거야
결국 난 나쁜 기억은 사라지고
좋은 기억만 남는다는
말도 안 되는 그 주문을 건다
[Chorus]
머리야 Obliviate
마음아 Obliviate
아파, 얼마나 내가
더 무너져야 해
이건 아니야
그럴 리 없단 말이야
더 선명해진 얼굴
그 목소리가 다시 귓가에
[Verse 2]
내 머리 속은 너무 비좁아
전부 짐이 돼버린
네 흔적이 나에겐
너무 아픈 virus
약도 없는 virus
오 말도 안 되는
이 사랑이 싫어
[Chorus]
머리야 Obliviate
마음아 Obliviate
아파, 얼마나 내가
더 무너져야 해
이건 아니야
그럴 리 없단 말이야
더 선명해진 얼굴
그 목소리가 다시 들리네
[Post-Chorus]
지워라 머리야
오 제발 내 마음아
지워라 머리야
오 제발 내 마음아
Obliviate"
Feel So Good,"
[Verse 1]
아침에 눈을 뜨면 다가오는 햇살
햇살에 눈 비비고 일어나고
일어나 남은 잠을 깨워보는 Shower time
누군가 청소를 한 깨끗해진 거리
거리에 울리는 내 걸음 소리
Feel so good, feel so good all my life
[Chorus]
얼굴은 웃음으로 가득 채워 (그리고)
마음은 사랑으로 가득 채워 (그래서)
걱정은 마음 속에 담지 말고 (그래도 그래도 가끔)
눈물이 흐를 때는 울어 버려 (그리고)
또 다시 아플 때는 웃어 버려
그래서 (그래서) 언제나 행복한 나
[Verse 2]
하루에 열 두번은 지어보는 미소
미소에 모두 나를 반겨주고
반기는 사람들과 인사하는 Everytime
어둔 밤 골목길을 지켜주는 달빛
달빛에 춤을 추는 강아지도
Feel so good, feel so good all my life
[Chorus]
얼굴은 웃음으로 가득 채워 (그리고)
마음은 사랑으로 가득 채워 (그래서)
걱정은 마음 속에 담지 말고 (그래도 그래도 가끔)
눈물이 흐를 때는 울어 버려 (그리고)
또 다시 아플 때는 웃어 버려
그래서 (그래서) 언제나 행복한 나
[Verse 3]
한 걸음 두 걸음 천천히 뛰지 말고
자꾸 자꾸 서두르지 말고
하루 하루 거르지 않고 사랑해 소릴 키우고
그때 그때 오해 다 지우고 서로 서로 아껴준다면
모두 다 기쁜 기분 Feel so good
[Chorus]
얼굴은 웃음으로 가득 채워 (그리고)
마음은 사랑으로 가득 채워 (그래서)
걱정은 마음 속에 담지 말고 (그래도 그래도 가끔)
눈물이 흐를 때는 울어 버려 (그리고)
또 다시 아플 때는 웃어 버려
그래서 (그래서) 언제나 행복한 나
웃어 봐 웃어 봐 기분이 좋아"
미운오리 (ugly duckling),"
저기 멀리 어둔 하늘 보다가
엄마 별이 사는 그 곳은 어딜까
외로운 밤 나를 보고 있을까
[Chorus 1]
작은 날개짓으로 날 수가 없는
미운 오리같은 나지만
그래 나의 노래가 저 하늘에 닿을때
그땐 꼭 만날 수 있겠지
[Verse 2]
저기 멀리 구름 계단 오르면
아빠 별이 나를 웃으며 반길까
혼자인 날 기다리고 계실까
[Chorus 1]
작은 날개짓으로 날 수가 없는
미운 오리같은 나지만
그래 나의 노래가 저 하늘에 닿을때
그땐 꼭 만날 수 있겠지
한숨이 흘러도 가슴이 슬퍼도
그래도 울지 않아
언젠가 또 다시 쉴 곳을 찾을걸 알아
[Chorus 2]
작은 날개짓으로 날 수가 없는
미운 오리같은 나지만
그래 나의 노래가 끝날 때 쯤에
그땐 꼭 만날 수 있겠지
하나 둘 셋 하얀 양을 세다가
나도 몰래 눈물이 흘러 내려와"
Mother Nature (H₂O),"
[Pre-Chorus]
꿈. 기도. 달빛 되어 내린 눈물
너. 나. 이제 잠을 청해 본다
[Chorus]
잠자던 나의 모성애가 깨어나고 있어
널 보면 내 품에 안아주고 싶어
너의 찌질한 모습 내겐 귀엽기만 해
내 마음은 온통 너로 가득차 있어
[Verse]
내가 니가 되고 그리고
니가 내가 되는 지금
우리는 서로 사랑을 하고 있어
너의 모습이 그냥 그대로 보여진다 해도
이대로 변하지 말았으면 해
산소와 수소가 만나면 폭발을 해
니 마음이 내 맘에 들어와도
마음과 마음이 만나면 떠오르지
어디 한번 날아볼까
달빛이 가득한 구름 위로 날아보자, 좀 무섭지만
보인다 우리가 선택한 길
저 끝까지 손 잡아줄래
[Pre-Chorus]
꿈. 기도. 달빛 되어 내린 눈물
밤. 사랑. 동쪽하늘 붉어온다
너. 나. 이제 잠을 청해본다
[Chorus]
잠자던 나의 모성애가 깨어나고 있어
널 보면 내 품에 안아주고 싶어
너의 찌질한 모습 내겐 귀엽기만 해
내 마음은 온통 너로 가득차 있어
내 마음은 온통 너로 가득차 있어"
하루 끝 (Every End of the Day),"
Monday better day
처음처럼 설레이는
그런 날
Sunday better day
종일 너만 생각하는
그런 날
[Verse 2]
욕심이 나 우리 사이
요만큼만 더 가까이
딱 한 발짝
그만큼 더 가까이
혼잣말이 속삭임이
너도 궁금할 순 있잖아
[Chorus]
네가 좋아서 그래
나 차가운 척
표정 짓고 있지만
내 마음은 그게 아닌데
거짓말인데
바보 같은 네가 난 답답해
너무 좋아서 그래
나 시무룩한
얼굴하고 있지만
또 기다리다 고민만 하다
흘러가는 하루 끝에서
하는 말
내가 널 사랑해
[Verse 3]
One day holiday
혼자 있긴 너무너무
싫은 날
One day cloudy day
울 것처럼 하늘도
찌푸린 날
[Verse 4]
눈물이 와 서글픈
내 맘을 닮은
눈물이 와
꾹 참았다
쏟아지는 내 맘이
온 하늘에 온 세상에
그저 슬픈 건 아닐 거야
[Chorus]
네가 좋아서 그래
나 차가운 척
표정 짓고 있지만
내 마음은 그게 아닌데
거짓말인데
바보 같은
네가 난 답답해
너무 좋아서 그래
나 시무룩한
얼굴하고 있지만
또 기다리다 고민만 하다
흘러가는 하루 끝에서
하는 말
내가 널 사랑해
[Bridge]
내 입술엔 거짓말
내 눈 속엔 정말 하고픈 말
맘속에 숨어 있는 말
[Chorus]
많이 좋아서 그래
뒤돌아서 느려진
발걸음을 봐
널 기다리는 맘인 거잖아
날 지켜본 너라면 알잖아
내가 몰라서 그래
네 마음이 들리게
내게 말해줘
손 내밀면 될 것 같은데
망설이는 이유가
나와 같다면
이제 다가와 줘"
싫은 날 (Bad Day),"
키 큰 전봇대 조명 아래
나 혼자 집에 돌아가는 길
가기 싫다 쓸쓸한 대사 한 마디
[Verse 2]
점점 느려지는 발걸음
동네 몇 바퀴를 빙빙 돌다 결국
도착한 대문 앞에 서서
열쇠를 만지작 만지작
[Chorus]
아무 소리도 없는 방
그 안에 난 외톨이
어딘가 불안해
TV 소리를 키워봐도
저 사람들은 왜 웃고 있는 거야
아주 깜깜한 비나
내렸음 좋겠네
텅 빈 놀이터 벤치에
누군가 다녀간 온기
왜 따뜻함이 날
더 춥게 만드는 거야
웅크린 어깨에 얼굴을 묻다가
주머니 속에 감춘
두 손이 시리네
[Bridge]
어제보다 찬 바람이 불어
이불을 끌어당겨도
더 파고든 바람이
구석구석 춥게 만들어
전원이 꺼진 것 같은
기척도 없는 창 밖을
바라보며 의미 없는 숨을 쉬고
한 겨울보다 차가운 내 방
손 끝까지 시린 공기
봄이 오지 않으면
그게 차라리 나을까
[Outro]
내 방 고드름도 녹을까
햇볕 드는 좋은 날 오면은"
Havana,"
거기선 모두가
노랠 하고 산대요
부서지는 파도 앞에 살면서
가장 낯설은 도시
가장 익숙한 그대와
어때요 멋질 것 같죠
[Verse 2]
여기선 다 못한
우리 비밀 얘기들
크게 나누면서 걸어 다닐래
이건 외워주세요
Hola muchacha Hermosa
아침마다 말해줘요
[Pre-Chorus]
널 위해 한 잔
날 위해 한 잔
늦은 저녁의 피냐 콜라다
웃어요 활짝, 예뻐요 찰칵
이 순간을 기억해
[Chorus]
Havana, you're my Havana
그대의 미지의 그 눈빛
Havana, 언제나 설레임
그대의 존재는 날 꿈꾸게 해
[Verse 3]
너무 정신 없이
바쁠수록 소중한
그대와 마주한 짧은 순간들
기다릴 누군가가
있는 하루는 행복해
반쯤은 들뜬 내 모습
[Pre-Chorus]
햇살이 얼핏
달콤한 귤빛
오후가 떠날 마지막 순간
그대를 만날 준비할 시간
난 여행을 떠나요
[Chorus]
Havana, you're my Havana
그대의 미지의 그 눈빛
Havana, 언제나 설레임
그대의 존재는 날 꿈꾸게 해
[Bridge]
그대는 나만의 휴식
고민과 걱정 사라지네
난 매일 저 멀리 떠나요
그대를 볼 때면
[Chorus]
Havana, you're my Havana
그대의 미지의 그 눈빛
Havana, 언제나 설레임
그대의 존재는 날 꿈꾸게 해"
Modern Times,"
유쾌한 걸음 새까만 콧수염
어딜 바삐 가나, 또 뭔 일이
시계토끼처럼 늘 급한 얼굴로
나를 지나쳐 가요
[Pre-Chorus]
난 그댈 알아 그댄 날 몰라
늘 같은 시간
우린 같은 길을 걷는데
시간 좀 내요 얘기 좀 해요
[Chorus]
한 마디 없이 꼭 다문 입술
나 그 목소리를 꼭 들을래요
다음에 보면 꼭 인사해요
또 봐요 미스터 채플린
[Verse 2]
바람에 날린 동그란 저 모자
달리기를 하나, 왜 서둘러
시계톱니처럼 똑같은 모퉁일
돌아돌아 뛰네요
[Pre-Chorus]
어디서 와서 어디로 갈까
말고도 궁금한 게
이렇게 난 많은데
잠시만 서서 얘기 좀 해요
[Chorus]
한 마디 없이 꼭 다문 입술
나 그 목소리를 꼭 들을래요
다음에 보면 꼭 인사해요
또 봐요 미스터 채플린
[Bridge]
어두운 얼굴 무슨 일이 있나요
말 건네면 대답할까요
나는 알아요 슬픈 그댈
온 세상 사람들
그대를 보면서 웃어도
[Pre-Chorus]
못 살게 구는 사람들 없는
먼 길을 떠났다고 난 믿을래요
이젠 웃어요 다 괜찮아요
또 봐요 미스터 채플린
[Chorus]
그대가 부른 즐거운 넌센스
나 슬픈 날엔 꼭 그 노랠 해요
언젠가 보면 꼭 인사해요
또 봐요 미스터 채플린
꼭 봐요 미스터 채플린
그 이름도 내겐
사랑스런 채플린"
소격동 (Sogyeokdong),"나 그대와 둘이 걷던 그 좁은 골목계단을 홀로 걸어요
그 옛날의 짙은 향기가 내 옆을 스치죠
널 떠나는 날 사실 난..
등 밑 처마 고드름과 참새소리 예쁜 이 마을에 살거에요
소격동을 기억하나요 지금도 그대로 있죠
아주 늦은 밤 하얀 눈이 왔었죠
소복이 쌓이니 내 맘도 설렜죠
나는 그날 밤 단 한숨도 못 잤죠
잠들면 안돼요
눈을 뜨면 사라지죠
어느 날 갑자기 그 많던 냇물이 말라갔죠
내 어린 마음도 그 시냇물처럼 그렇게 말랐겠죠
너의 모든걸 두 눈에 담고 있었죠
소소한 하루가 넉넉했던 날
그러던 어느 날 세상이 뒤집혔죠 다들 꼭 잡아요
(잠깐 사이에) 사라지죠
잊고 싶진 않아요 하지만 나에겐
사진 한 장도 남아있지가 않죠
그저 되뇌면서 되뇌면서
나 그저 애를 쓸 뿐이죠
아주 늦은 밤 하얀 눈이 왔었죠
소복이 쌓이니 내 맘도 설렜죠
나는 그날 밤 단 한숨도 못 잤죠
잠들면 안돼요
눈을 뜨면 사라지죠"
입술 사이 (50cm) (Between the Lips),"
Oh darling 넘지 말아요
두 입술 사이 거린
아직까진 50cm
달콤한 말로 뻔한 말로
착한 나를 유혹하려
하진 말아주세요
[Chorus]
사랑은, 이 사랑은
완벽할 거에요
Largo, adagio 조급해 말아요
Slowly, baby slowly
Very slow 느린 템포로
[Verse 2]
Oh darling 넘지 말아요
두 입술 사이 거린
아직까진 50cm
솔직한 말로, 그 말로
순결한 그대 맘을
내가 느낄 때까진
그 거리는 50cm
[Chorus]
사랑은, 이 사랑은
완벽할 거에요
Largo, adagio 조급해 말아요
Slowly, baby slowly
Very slow 느린 템포로
우리 사랑은, 이 사랑은
짜릿할 거에요
Love ya, baby love ya
그대 윗 입술에
빨간 나의 아랫 입술이
닿을 때 쯤엔
[Verse 3]
제발 넘지 말아요
두 입술 사이 거린
아직까진 50cm
달콤한 말로, 그 말로
제발 흔한 여자로
만들진 말아주세요
[Bridge]
조금만 날 아껴줘요
두 입술 사인 아직 50cm
[Outro]
Hush, hush, baby
Push me, oh baby
이 작은 부탁만 들어줘요
Hush, hush, baby
Cherish me, baby"
누구나 비밀은 있다 (Everybody Has Secrets),"
[Verse 1: Gain]
내가 누굴 탐했었는지
네가 알면 넌 어떤 표정을 할까
내가 어제 무얼 했는지
네가 알면 넌 어떤 얘기를 할까
[Pre-Chorus: Gain]
영원한 비밀이란 없다고
Oh, 말을 하지만
떠들썩하거나 사소하거나
끔찍한 파문이 일지 몰라
[Chorus: IU]
누구나 비밀은 있는 거야
아무에게도 말하지 마
우리 아무 일도 없던 걸로
안 들은 걸로 해요
모두 비밀은 있는 거야
누구에게도 말하지 마
사람들에게는 진실이란 중요하지 않아
[Verse 2: IU]
내가 무슨 꿈을 꿨는지
네가 알면 넌 어떤 얼굴을 할까
내가 누굴 싫어하는지
네가 알면 까무러칠지도 몰라
[Pre-Chorus: IU]
영원한 비밀이란 없다고
Oh-oh-oh-oh, 말을 하지만
넌 내가 정말로 없을 것 같니
아무도 모르는 story 하나
넌 네가 정말로 다 안 것 같니
너의 제일 가까운 그 사람을
[Chorus: Gain]
누구나 비밀은 있는 거야
아무에게도 말하지 마
우리 아무 일도 없던 걸로
안 들은 걸로 해요
모두 비밀은 있는 거야
누구에게도 말하지 마
사람들에게는 진실이란 중요하지 않아
[Bridge: IU,
Gain
]
비밀이 있기에 빛나는 사람
나를 언제나 궁금하게 만들어
다가갈수록 신비로운 사람
그대의 모든 걸 말하지 마요
[Chorus: IU,
Gain
]
누구나 비밀은 있는 거야
아무에게도 말하지 마
우리 아무 일도 없던 걸로
안 들은 걸로 해요
모두 비밀은 있는 거야
누구에게도 말하지 마
사람들에게는 진실이란 중요하지 않아"
Fairytale,"深い眠りに
迷い込んだ King & Queen
二人で描いた
未来はまるで fairytale
何も知らなかった故の報いね
何も分からなかったのも罪深いね
傷付けあってオワリなんて so sad
どうしてこんなにも簡単に letting go
まるで何も無かったかのように
一緒に過ごした時間(トキ)はまるで Hey…
御伽話ね
壊れたものを
直す価値を見つけない?
誰より分かってくれているのは
あなたしか居ないのよ　だから
When I am fallin’
どうすればいい? Tell me…
どうしてそんなにも急いで far away
まるで何も無かったかのように
一緒に過ごした時間(トキ)はまるで Hey…
御伽話ね
出来過ぎたストーリーはそう
現実とは違って
エンディングがこうなるなんて
こんなにも簡単に letting go
まるで何も無かったかのように
そんなにも急いで far away
まるで何も無かったかのように
一緒に過ごした時間(トキ)はまるで Hey…
御伽話ね
Just like a fairytale
Do you remember?"
Truth,"覚えてるかしら?
幼かった頃を
与えられては all I took
何が正しいとか
何が間違いとか
大人は皆信じていた
Ooh お手本通り作られた道歩いたって
What's really left?
真実はそこにあるの?
誰かをずっと愛したり
誰かを許したり
何度も繰り返して見え始めた Truth
誰かを失ったり
誰かを信じたり
真実を知るための道は続いてく
突然目の前が晴れたかのように
矛盾に気が付いて
悲しくて寂しくて
それでもまだまだ
全て受け入れていた
I didn't know
Ooh 目の前のことだけに精一杯で
I took what's given
理解しようとしなかった
誰かをずっと愛したり
誰かを許したり
何度も繰り返して見え始めた Truth
誰かを失ったり
誰かを信じたり
真実を知るための道は続いて
少しトキが経って
沢山のこと経験もしてきた
今なら分かる大人になる意味を
Now I know the truth maybe...
誰かをずっと愛したり
誰かを許したり
何度も繰り返して見え始めた Truth
誰かを失ったり
誰かを信じたり
真実を知るための道は続いてく"
잔소리 (Nitpicking),"
[Verse 1: IU,
Lim Seul Ong
]
늦게 다니지좀 마
술은 멀리좀 해봐
열살짜리 애처럼 말을 안듣니
정말 웃음만 나와
누가 누굴보고 아이라 하는지
정말 웃음만 나와
[Pre-Chorus: IU,
Lim Seul Ong
]
싫은 얘기 하게 되는
내 맘을 몰라
좋은 얘기만 나누고 싶은
내맘을 몰라
그만할까
그만하자
[Chorus: IU,
Lim Seul Ong
&
Both
]
하나부터 열까지 다
널 위한 소리
내 말 듣지 않는
너에게는 뻔한 잔소리
그만하자 그만하자
사랑하기만해도 시간 없는데
머리 아닌 가슴으로
하는 이야기
니가 싫다 해도
안 할수가 없는 이야기
그만하자 그만하자
나의 잔소리가 들려
[Verse 2: IU,
Lim Seul Ong
]
밥은 제 때 먹는지
여잔 멀리 하는지
온 종일을 네 옆에 있고 싶은데
내가 그 맘인거야
주머니속에 널 넣고 다니면
정말 행복할텐데
[Pre-Chorus: IU,
Lim Seul Ong
]
둘이 아니면 안되는
우리 이야기
누가 듣는다면 놀려대고
웃을 이야기
그만할까
그만하자
[Chorus: IU,
Lim Seul Ong
&
Both
]
하나부터 열까지 다
널 위한 소리
내 말 듣지 않는
너에게는 뻔한 잔소리
그만하자 그만하자
사랑하기만해도 시간 없는데
머리 아닌 가슴으로
하는 이야기
니가 싫다 해도
안 할수가 없는 이야기
그만하자 그만하자
나의 잔소리가 들려
[Bridge: IU,
Lim Seul Ong
&
Both
]
눈에 힘을 주고 겁을 줘봐도
내겐 그저 귀여운 얼굴
이럴래 자꾸 더는 못 참고
정말 화낼지 몰라
[Chorus: IU,
Lim Seul Ong
&
Both
]
사랑하다 말거라면
안 할 이야기
누구보다 너를 생각하는
마음의 소리
화가 나도 소리 쳐도
너의 잔소리마저 난 달콤한데
사랑해야 할 수 있는
그런 이야기
내 말 듣지 않는
너에게는 뻔한 잔소리
그만하자 그만하자
이런 내 맘을 믿어줘"
